source,dataset_id,title,abstract,authors,year,publisher,keywords,subjects,language,country,doi,url,collection_date
dryad,93,Distinct predatory behaviors in scimitar- and dirk-toothed sabertooth cats,"<p>Over the Cenozoic, large cat-like forms have convergently evolved into specialized killers of ‘megaherbivores’ that relied on their large, and laterally-compressed (saber-like) canines to rapidly subdue their prey [1-5]. Scimitar- and dirk-toothed sabertooths are distinct ecomorphs that differ in canine tooth length, degree of serration, and postcranial features indicative of dissimilar predatory behavior [6-13]. Despite these differences, it is assumed that they used a similar ‘canine-shear’ bite to kill their prey [14,15]. We investigated the killing behavior of the scimitar-toothed Homotherium serum and the dirk-toothed Smilodon fatalis using a comparative sample of living carnivores and a new quantitative approach to the analysis of skull function. For the first time, we quantified differences in the relative amount and distribution of cortical and trabecular bone in coronal sections of skulls to assess relative skull stiffness and flexibility [16-19]. We also use finite element analysis to simulate various killing scenarios that load skulls in ways that likely favor distinct proportions of cortical versus trabecular bone across the skull. Our data reveal that S. fatalis had an extremely thick skull and relatively little trabecular bone, consistent with a large investment in cranial strength for a stabbing canine-shear-bite. However, H. serum had more trabecular bone, and likely deployed an unusual predatory behavior more similar to the clamp-and-hold technique of the lion than S. fatalis. These data broaden the killing repertoire of sabertooths and highlight the degree of ecological specialization among members of the large carnivore guild during the Late Pleistocene of North America.</p>
",,2021,Dryad,"cranial biomechanics, Paleobiology, trabecular bone, Finite element analysis, Crocuta crocuta, killing bite, scimitar-tooths, Lycaon pictus, Smilodon fatalis, Homotherium serum, dirk-tooths, Holocene, cortical bone",,,,doi:10.5061/dryad.7rh4625,/api/v2/versions/124910,2026-03-19
dryad,94,Data from: Phylogenomic insights into the evolution of stinging wasps and the origins of ants and bees,"The stinging wasps (Hymenoptera: Aculeata) are an extremely diverse lineage of hymenopteran insects, encompassing over 70,000 described species and a diversity of life history traits, including ectoparasitism, cleptoparasitism, predation, pollen feeding (bees [Anthophila] and Masarinae) and eusociality (social vespid wasps, ants, and some bees) [1]. The most well-studied lineages of Aculeata are the ants, which are ecologically dominant in most terrestrial ecosystems [2], and the bees, the most important lineage of angiosperm-pollinating insects [3]. Establishing the phylogenetic affinities of ants and bees helps us understand and reconstruct patterns of social evolution as well as fully appreciate the biological implications of the switch from carnivory to pollen feeding (pollenivory). Despite recent advancements in aculeate phylogeny [4–11], considerable uncertainty remains regarding higher level relationships within Aculeata, including the phylogenetic affinities of ants and bees [5–7]. We used ultraconserved element (UCE) phylogenomics [7,12] to resolve relationships among stinging wasp families, gathering sequence data from > 800 UCE loci and 187 samples, including 30 out of 31 aculeate families. We analyzed the 187-taxon data set using multiple analytical approaches, and we evaluated several alternative taxon sets. We also tested alternative hypotheses for the phylogenetic positions of ants and bees. Our results present a highly supported phylogeny of the stinging wasps. Most importantly, we find unequivocal evidence that ants are the sister group to bees+apoid wasps (Apoidea) and that bees are nested within a paraphyletic Crabronidae. We also demonstrate that taxon choice can fundamentally impact tree topology and clade support in phylogenomic inference.",,2018,Dryad,"Next-generation sequencing, social insects, Anthophila, taxon sampling, Molecular systematics, Aculeata, Apocrita",,,,doi:10.5061/dryad.r8d4q,/api/v2/versions/94,2026-03-19
dryad,95,"Data from: Complex selection on a regulator of social cognition: evidence of balancing selection, regulatory interactions and population differentiation in the prairie vole Avpr1a locus","Adaptive variation in social behavior depends upon standing genetic variation, but we know little about how evolutionary forces shape genetic diversity relevant to brain and behavior. In prairie voles (Microtus ochrogaster), variants at the Avpr1a locus predict expression of the vasopressin 1a receptor in the retrosplenial cortex (RSC), a brain region that mediates spatial and contextual memory; cortical V1aR abundance in turn predicts diversity in space-use and sexual fidelity in the field. To examine the potential contributions of adaptive and neutral forces to variation at the Avpr1a locus, we explore sequence diversity at the Avpr1a locus and throughout the genome in two populations of wild prairie voles. First, we refine results demonstrating balancing selection at the locus by comparing the frequency spectrum of variants at the locus to a random sample of the genome. Next, we find that the four SNPs that predict high V1aR expression in the RSC are in stronger linkage disequilibrium than expected by chance despite high recombination among intervening variants, suggesting that epistatic selection maintains their association despite recombination. Analysis of population structure and a haplotype network for two populations revealed that this excessive LD was unlikely to be due to admixture alone. Furthermore, the two populations differed considerably in the region shown to be a regulator of V1aR expression despite the extremely low levels of genome-wide genetic differentiation. Together, our data suggest that complex selection on Avpr1a locus favors specific combinations of regulatory polymorphisms, maintains the resulting alleles at populations-specific frequencies, and may contribute to unique patterns of spatial cognition and sexual fidelity among populations.",,2017,Dryad,"Gene regulation, Sexual Fidelity, Microtus ochrogaster, Behavior/Social Evolution, Holocene",,,,doi:10.5061/dryad.2d7b8,/api/v2/versions/95,2026-03-19
dryad,96,"Data from: The evolution of marine larval dispersal kernels in spatially structured habitats: analytical models, individual-based simulations, and comparisons with empirical estimates","Understanding the causes of larval dispersal is a major goal of marine ecology, yet most research focuses on proximate causes. Here, we ask how ultimate, evolutionary causes affect dispersal. Building on Hamilton and May's 1977 classic paper (``Dispersal in stable habitats""), we develop analytic and simulation models for the evolution of dispersal kernels in spatially structured habitats. First, we investigate dispersal in a world without edges and find that most offspring disperse as far as possible, opposite the pattern of empirical data. Adding edges to our model world leads to nearly all offspring dispersing short distances, again a mismatch with empirical data. Adding resource heterogeneity improves our results: most offspring disperse short distances with some dispersing longer distances. Finally, we simulate dispersal evolution in a real seascape in Belize and find that the simulated dispersal kernel and an empirical dispersal kernel from that seascape both have the same shape, with a high level of short-distance dispersal and a low level of long-distance dispersal. The novel contribution of this work is to provide a spatially explicit analytic extension of Hamilton and May 1977, to demonstrate that our spatially explicit simulations and analytic models provide equivalent results, and to use simulation approaches to investigate the evolution of dispersal kernel shape in spatially complex habitats. Our model could be modified in various ways to investigate dispersal evolution in other species and seascapes, providing new insights into patterns of marine larval dispersal.",,2018,Dryad,Ecology: evolutionary,,,,doi:10.5061/dryad.s3j9074,/api/v2/versions/96,2026-03-19
dryad,97,Data from: Gene discovery in Gelsemium highlights conserved gene clusters in monoterpene indole alkaloid biosynthesis,[No abstract filled],,2018,Dryad,"Alkaloid, Gelsimium, Biosynthesis",,,,doi:10.5061/dryad.08vv50n,/api/v2/versions/97,2026-03-19
dryad,98,"Data from: ""Comparative genomic resources for spiny lizards (genus Sceloporus)"" in Genomic Resources Notes accepted 1 August 2014-30 September 2014","To advance comparative genomic studies of the spiny fence lizards (genus Sceloprous), we provide the genomic annotations for 35 Sceloporus species.",,2019,Dryad,"Reptiles, Sceloporus clarkii, Sceloporus carinatus, Comparative Biology, Sceloporus malachiticus, Sceloporus zosteromus, Sceloporus occidentalis, Sceloporus licki, Sceloporus olivaceus, Sceloporus exsul, Gene Structure and Function, Sceloporus ochoterenae, Sceloporus tristichus, Sceloporus edwardtaylori, Sceloporus hunsakeri, Sceloporus jalapae, Sceloporus spinosus, Sceloporus angustus, Sceloporus bicanthalis, Sceloporus adleri, Sceloporus gadoviae, Sceloporus taeniocnemis, Sceloporus torquatus, Sceloporus scalaris, Sceloporus siniferus, Sceloporus smithi, Sceloporus formosus, Sceloporus grammicus, Sceloporus horridus, Sceloporus mucronatus, Sceloporus palaciosi, Sceloporus cowlesi, Sceloporus magister, Genomics/Proteomics, Sceloporus graciosus, Sceloporus woodi, Sceloporus variabilis, Sceloporus utiformis, Sceloporus orcutti",,,,doi:10.5061/dryad.n2q7f,/api/v2/versions/35333,2026-03-19
dryad,99,Data from: Demographic modelling reveals a history of divergence with gene flow for a glacially tied stonefly in a changing post-Pleistocene landscape,"Aim: Climate warming is causing extensive loss of glaciers in mountainous regions, yet our understanding of how glacial recession influences evolutionary processes and genetic diversity is limited. Linking genetic structure with the influences shaping it can improve understanding of how species respond to environmental change. Here, we used genome-scale data and demographic modelling to resolve the evolutionary history of Lednia tumana, a rare, aquatic insect endemic to alpine streams. We also employed a range of widely used data filtering approaches to quantify how they influenced population structure results.
Location: Alpine streams in the Rocky Mountains of Glacier National Park, Montana, USA.
Taxon: Lednia tumana, a stonefly (Order Plecoptera) in the family Nemouridae.
Methods: We generated single nucleotide polymorphism data through restriction-site associated DNA sequencing to assess contemporary patterns of genetic structure for 11 L. tumana populations. Using identified clusters, we assessed demographic history through model selection and parameter estimation in a coalescent framework. During population structure analyses, we filtered our data to assess the influence of singletons, missing data and total number of markers on results.
Results: Contemporary patterns of population structure indicate that L. tumana exhibits a pattern of isolation-by-distance among populations within three genetic clusters that align with geography. Mean pairwise genetic differentiation (FST) among populations was 0.033. Coalescent-based demographic modelling supported divergence with gene flow among genetic clusters since the end of the Pleistocene (~13-17 kya), likely reflecting the south-to-north recession of ice sheets that accumulated during the Wisconsin glaciation.
Main conclusions: We identified a link between glacial retreat, evolutionary history and patterns of genetic diversity for a range-restricted stonefly imperiled by climate change. This finding included a history of divergence with gene flow, an unexpected conclusion for a mountaintop species. Beyond L. tumana, this study demonstrates the complexity of assessing genetic structure for weakly differentiated species, shows the degree to which rare alleles and missing data may influence results, and highlights the usefulness of genome-scale data to extend population genetic inquiry in non-model species.",,2018,Dryad,"alpine stream ecology, Glacier National Park, Lednia tumana",,,,doi:10.5061/dryad.4vg17,/api/v2/versions/35335,2026-03-19
dryad,100,Data from: A chromosomal-scale genome assembly of Tectona grandis reveals the importance of tandem gene duplication and enables discovery of genes in natural product biosynthetic pathways,"Background: Teak, a member of the Lamiaceae family, produces one of the most expensive hardwoods in the world. High demand coupled with deforestation have caused a decrease in natural teak forests, and future supplies will be reliant on teak plantations. Hence, selection of teak tree varieties for clonal propagation with superior growth performance is of great importance, and access to high-quality genetic and genomic resources can accelerate the selection process by identifying genes underlying desired traits.
Findings: To facilitate teak research and variety improvement, we generated a highly contiguous, chromosomal-scale genome assembly using high-coverage PacBio long reads coupled with high-throughput chromatin conformation capture. Of the 18 teak chromosomes, we generated 17 near-complete pseudomolecules with one chromosome present as two chromosome arm scaffolds. Genome annotation yielded 31,168 genes encoding 46,826 gene models, of which, 39,930 and 41,155 had Pfam domain and expression evidence, respectively. We identified 14 clusters of tandem-duplicated terpene synthases (TPSs), genes central to the biosynthesis of terpenes which are involved in plant defense and pollinator attraction. Transcriptome analysis revealed 10 TPSs highly expressed in woody tissues, of which, 8 were in tandem, revealing the importance of resolving tandemly duplicated genes and the quality of the assembly and annotation. We also validated the enzymatic activity of four TPSs to demonstrate the function of key TPSs.
Conclusions: In summary, this high-quality chromosomal-scale assembly and functional annotation of the teak genome will facilitate the discovery of candidate genes related to traits critical for sustainable production of teak and for anti-insecticidal natural products.",,2020,Dryad,"chromosomal-scale assembly, tandem-duplicated genes, teak, terpene synthases",,,,doi:10.5061/dryad.77b2422,/api/v2/versions/72382,2026-03-19
dryad,101,Data from: The chinchilla as a novel animal model of pregnancy,"Several parameters are important when choosing the most appropriate animal to model human obstetrics, including gestation period, number of fetuses per gestation and placental structure. The domesticated long-tailed chinchilla (Chinchilla lanigera) is a well-suited and appropriate animal model of pregnancy that often will carry only one offspring and has a long gestation period of 105–115 days. Furthermore, the chinchilla placenta is of the haemomonochorial labyrinthine type and is therefore comparable to the human villous haemomonochorial placenta. This proof-of-concept study demonstrated the feasibility in laboratory settings, and demonstrated the potential of the pregnant chinchilla as an animal model for obstetric research and its potential usefulness for non-invasive measurements in the placenta. We demonstrate measurements of the placental and fetal metabolism (demonstrated in vivo by hyperpolarized MRI and in vitro by qPCR analyses), placental vessels (demonstrated ex vivo by contrast-enhanced CT angiography) and overall anatomy (demonstrated in vivo by whole-body CT).",,2017,Dryad,"Pregnant animal models, Placenta, Imaging, Comparative Biology, Chinchilla",,,,doi:10.5061/dryad.9cp3j,/api/v2/versions/101,2026-03-19
dryad,102,Data from: Community trees: identifying codiversification in the páramo dipteran community,"Groups of codistributed species that responded in a concerted manner to environmental events are expected to share patterns of evolutionary diversification. However, the identification of such groups has largely been based on qualitative, post hoc analyses. We develop here two methods (PPS, K-F ANOVA) for the analysis of codistributed species that, given a group of species with a shared pattern of diversification, allow empiricists to identify those taxa that do not codiversify (i.e., ""outlier"" species). The identification of outlier species makes it possible to jointly estimate the evolutionary history of co-diversifying taxa. To evaluate the approaches presented here, we collected data from Páramo dipterans, identified outlier species, and estimated a ""community tree"" from species that are identified as having co-diversified. Our results demonstrate that dipteran communities from different Páramo habitats in the same mountain range are more closely related than communities in other ranges. We also conduct simulation testing to evaluate this approach. Results suggest that our approach provides a useful addition to comparative phylogeographic methods, while identifying aspects of the analysis that require careful interpretation. In particular, both the PPS and K-F ANOVA perform acceptably when there are one or two outlier species, but less so as the number of outliers increase. This is likely a function of the corresponding degradation of the signal of community divergence; without a strong signal from a co-diversifying community, there is no dominant pattern from which to detect and outlier species. For this reason, both the magnitude of K-F distance distribution and outside knowledge about the phylogeographic history of each putative member of the community should be considered when interpreting results.",,2016,Dryad,"Coalescent Theory, Dipteran communities, Pleistocene to recent, Páramo, Diptera, comparative phylogeography",,,,doi:10.5061/dryad.r5nf0,/api/v2/versions/102,2026-03-19
